,track_id,danceability,energy,loudness,mode,acousticness,instrumentalness,speechiness,liveness,tempo,valence
0,4c9ygoZeMOjvu3uoLpIsl6,0.742,0.44,-8.045,0,0.465,0.00134,0.0609,0.0924,129.894,0.307
1,3r8RuvgbX9s7ammBn07D3W,0.814,0.641,-5.957,0,0.027,0.0,0.111,0.0993,133.854,0.183
2,65FftemJ1DbbZ45DUfHJXE,0.804,0.771,-4.067,0,0.357,3.07e-06,0.0433,0.108,126.956,0.739
3,0wSQyNqdv75aNGfmXQ3Q9F,0.473,0.516,-10.424,1,0.413,0.0076,0.0545,0.13,182.406,0.298
4,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,-5.747,1,0.0521,0.144,0.0391,0.161,88.98,0.418
5,4EgGFRir6rg8sUSZewSrSg,0.699,0.556,-8.075,1,0.203,6.82e-06,0.27,0.336,88.504,0.263
6,5DRnssBoVo8e7uAQZkNT8O,0.732,0.703,-7.224,1,0.104,0.0417,0.0314,0.109,108.979,0.836
7,6Tv21RLLA1Dt6OtPNz8QDq,0.595,0.47,-8.722,1,0.368,0.00136,0.0261,0.0947,81.008,0.318
8,3DA4gPe9MDQFe7bMzEVGce,0.688,0.788,-6.533,0,0.0276,3.39e-06,0.0332,0.0603,110.017,0.641
9,0pJO1tc1GpnxFyQp6Zp82r,0.716,0.813,-5.748,1,0.269,0.0,0.256,0.104,90.418,0.682
10,4syzriQO4gEZR61pU5FBFd,0.635,0.619,-7.22,0,0.052,0.00016,0.0474,0.118,87.984,0.277
11,78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,-8.209,1,0.534,9.21e-05,0.0254,0.128,132.023,0.288
12,6S6Ls9g5i1k2duXCWiOm55,0.809,0.483,-7.035,1,0.672,0.192,0.045,0.135,95.011,0.661
13,0Dl965SLJGi9bB0SrvtPRx,0.763,0.759,-3.925,0,0.218,4.24e-05,0.0906,0.0724,146.006,0.964
14,1SaVl5y8PvOWwjM6VYcnKN,0.745,0.65,-9.408,1,0.551,0.0,0.339,0.388,140.889,0.893
15,7G6NU3cp3ufNMEFCI2l90X,0.426,0.342,-11.531,1,0.858,0.0172,0.0265,0.258,74.853,0.155
16,4pGxnHLyli1TLkRFHyBxo0,0.6,0.689,-7.774,0,0.902,2.63e-05,0.364,0.264,98.423,0.852
17,0j0gJqxitjhmmkrW56dtQH,0.633,0.809,-7.645,1,0.00956,0.00215,0.0364,0.102,96.947,0.471
18,0O5q2h0kfQD6PixL7rCHuL,0.321,0.901,-4.441,1,0.00856,8.8e-06,0.093,0.59,165.886,0.415
19,6osru1Fx1n50mRD8QWI9m1,0.494,0.406,-8.472,0,0.848,5.63e-06,0.0559,0.0765,159.957,0.0853
