,artist_id,artist_name,genre
0,7tYKF4w9nC0nq9CsPZTHyP,SZA,"['pop', 'r&b', 'rap']"
1,6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,"['afrofuturism', 'alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'trip hop']"
2,5mFKYdmiYwNJTDtSzgFyQx,Andy Shauf,"['canadian indie folk', 'chamber pop', 'saskatchewan indie']"
3,6mKqFxGMS5TGDZI3XkT5Rt,Angel Olsen,"['alternative americana', 'art pop', 'chamber pop', 'dream pop', 'experimental pop', 'indie pop', 'indie rock', 'noise pop', 'singer-songwriter']"
4,6HvZYsbFfjnjFrWF950C9d,NewJeans,"['k-pop', 'k-pop girl group']"
5,3Uqu1mEdkUJxPe7s31n1M9,Weyes Blood,"['art pop', 'chamber pop', 'experimental folk', 'indie pop']"
6,6eXZu6O7nAUA5z6vLV8NKI,Little Simz,"['alternative r&b', 'escape room', 'trap queen']"
7,6lcwlkAjBPSKnFBZjjZFJs,Alex G,"['indie pop', 'philly indie', 'pov: indie']"
8,2uYWxilOVlUdk4oV9DvwqK,Mitski,"['brooklyn indie', 'pov: indie']"
9,3kzwYV3OCB010YfXMF0Avt,Alvvays,"['art pop', 'chamber pop', 'dream pop', 'dreamo', 'indie pop', 'indie rock', 'noise pop', 'shoegaze', 'toronto indie']"
10,3PP6ghmOlDl2jaKaH0avUN,"Black Country, New Road","['crank wave', 'indie rock', 'london indie', 'uk post-punk revival']"
11,4e9vQfyvvDlcQAkjSdFE4x,Maya Hawke,['indie pop']
12,2kGBy2WHvF0VdZyqiVCkDT,Father John Misty,"['art pop', 'chamber pop', 'indie rock', 'indietronica', 'singer-songwriter', 'stomp and holler']"
13,0tMnuEXTeJeHbslcV8OybJ,Drugdealer,"['indie garage rock', 'neo-psychedelic', 'psychedelic pop']"
14,4Ge8xMJNwt6EEXOzVXju9a,Caroline Polachek,"['art pop', 'escape room', 'indie pop', 'indietronica']"
15,1r1uxoy19fzMxunt3ONAkG,Phoebe Bridgers,"['indie pop', 'la indie', 'pov: indie']"
16,4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","['hip hop', 'rap']"
17,5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,"['art pop', 'brooklyn indie', 'chamber pop', 'dream pop', 'indie pop', 'indie rock', 'singer-songwriter', 'small room']"
18,5hAhrnb0Ch4ODwWu4tsbpi,Yo La Tengo,"['alternative rock', 'art pop', 'dream pop', 'indie rock', 'indietronica', 'lo-fi', 'new jersey indie', 'noise pop', 'permanent wave', 'shoegaze']"
19,7oJ1EabmX7ejrie3NBzn0p,Kacy & Clayton,"['canadian americana', 'saskatchewan indie']"
